author_name,career_stage,paper_title,paper_year,times_cited,total_authors_listed,coauthors,coauthor_count,coauthor_countries_counts,group,gender,coauthor_genders
Michael W. Russell,Senior,"Novel conversion of 2,3-Diaryl-2,3-dihydro-1,3-thiaza-4-ones to dimeric ring-opened thioacetals",2023,1,9,"Lee J. Silverberg, Tapas K. Mal, Carlos Pacheco, Hemant P. Yennawar, Anthony F. Lagalante, Mark A. Olsen, Elyssa N. Yeagley, Emily L. Zeigler",8,{'US': 9},treatment,male,"{'M': 6, 'F': 2}"
Michael W. Russell,Senior,SARS-CoV-2 Infection is Associated with an Increase in New Diagnoses of Schizophrenia Spectrum and Psychotic Disorder: A Study Using the US National COVID Cohort Collaborative (N3C),2023,1,5,"Asif Rahman, Wanhong Zheng, Daniel Eckrich, Imtiaz Ahmed",4,{'US': 5},treatment,male,"{'M': 3, 'F': 0}"
Michael W. Russell,Senior,Mucosal Immunity in Sexually Transmitted Infections,2018,1,2,Jiří Městecký,1,{'US': 2},treatment,male,"{'M': 1, 'F': 0}"
Michael W. Russell,Senior,"Review of: ""A Single Dose of COVID-19 mRNA Vaccine Induces Airway Immunity in COVID-19 Convalescent Patients""",2022,1,1,,0,{'US': 1},treatment,male,"{'M': 0, 'F': 0}"
Michael W. Russell,Senior,CCDC 2265734: Experimental Crystal Structure Determination,2023,0,9,"Lee J. Silverberg, Tapas K. Mal, Carlos Pacheco, Hemant P. Yennawar, Anthony F. Lagalante, Mark A. Olsen, Elyssa N. Yeagley, Emily L. Zeigler",8,{},treatment,male,"{'M': 6, 'F': 2}"
Michael W. Russell,Senior,CCDC 2303670: Experimental Crystal Structure Determination,2023,0,3,"Hemant P. Yennawar, Lee J. Silverberg",2,{},treatment,male,"{'M': 2, 'F': 0}"
Michael W. Russell,Senior,List of Contributors,2019,0,100,"Soman N. Abraham, David Artis, Zayed Attia, Tatsuhiko Azegami, Lorne A. Babiuk, Eileen M. Barry, Kenneth W. Beagley, Jayaum S. Booth, Kenneth L. Bost, Prosper N. Boyaka, Emily R. Bryan, Nils Carlin, Daniel J.J. Carr, Hae Woong Choi, Hiutung Chu, John D. Clemens, Cevayir Coban, Estelle Cormet‐Boyaka, Michelle C. Crank, Toni Darville, Steven C. Derrick, Siyuan Ding, Ioannis Drygiannakis, Kristel L. Emmer, Peter B. Ernst, Hildegund C.J. Ertl, Kohtaro Fujihashi, Kosuke Fujimoto, Volker Gerdts, Barney S. Graham, Katrina R. Grau, Harry B. Greenberg, Hideki Hasegawa, Tomomi Hashizume‐Takizawa, Jodi F. Hedges, Danica K. Hickey, Kiyoshi Hirahara, Jan Holmgren, Adam Huys, Hiroshi Ishii, Akiko Iwasaki, Yanlong Jiang, Christian Jobin, Brandi T. Johnson‐Weaver, Mark A. Jutila, Stephanie M. Karst, Hirotomo Kato, Eiji Kawamoto, Hideyuki Kawauchi, Hisako Kayama, Brian L. Kelsall, Andrea M. Kemter, Eunsoo Kim, Hiroshi Kiyono, Ryoki Kobayashi, Avinash Kollipara, Qingke Kong, Jun Kunisawa, Tomoko Kurita‐Ochiai, Mi‐Na Kweon, De’Ashia Lee, Michelle Sue Jann Lee, Randy Longman, Nils Lycke, Jesse F. Mangold, David R. Martinez, Tetsuro Matano, Larry S. McDaniel, Jiří Městecký, Maeva Metz, Thomas F. Meyer, Micaela L. Montgomery, Kaitlyn M. Morabito, Pau Morey, Peter Mulvey, Cathryn R. Nagler, Rika Nakahashi-Ouchida, Toshinori Nakayama, Pearay L. Ogra, Ji Eun Oh, Eun Jeong Park, David W. Pascual, Marcela F. Pasetti, Sallie R. Permar, Kenneth J. Piller, Jillian L. Pope, Bali Pulendran, Firdausi Qadri, Troy D. Randall, Joon Haeng Rhee, Kenneth L. Roland, Derek J. Royer, Tracy J. Ruckwardt, Shintaro Sato, Adrish Sen, Motomu Shimaoka, Aarón Silva-Sánchez, Herman F. Staats, Hidehiko Suzuki",99,"{'US': 15, 'JP': 3, 'CA': 1, 'AU': 2, 'BD': 2}",treatment,male,"{'M': 50, 'F': 27}"
Michael W. Russell,Senior,"Vaisar et al, Type 2 Diabetes is Associated with Loss of HDL Endothelium Protective Functions",2018,0,8,"Tomáš Vaisar, Erica Couzens, Arnold Hwang, Carolyn E. Barlow, Laura F. DeFina, Andrew N. Hoofnagle, Francis Kim",7,{},treatment,male,"{'M': 4, 'F': 3}"
Michael W. Russell,Senior,Nasal vaccines promise to stop the COVID-19 virus before it gets to the lungs – an immunologist explains how they work,2022,0,1,,0,{'US': 1},treatment,male,"{'M': 0, 'F': 0}"
Andre L. Holder,Senior,An Interpretable Machine Learning Model for Accurate Prediction of Sepsis in the ICU,2017,694,6,"Shamim Nemati, Fereshteh Razmi, Matthew D. Stanley, Gari D. Clifford, Timothy G. Buchman",5,{'US': 6},treatment,male,"{'M': 4, 'F': 1}"
Andre L. Holder,Senior,Fluid Response Evaluation in Sepsis Hypotension and Shock,2020,218,16,"Ivor S. Douglas, Philip Alapat, Keith Corl, Matthew C. Exline, Lui G. Forni, David A. Kaufman, Akram Khan, Mitchell M. Levy, Greg S. Martin, Jennifer Sahatjian, Eric J. Seeley, Wesley H. Self, Jeremy A. Weingarten, Mark D. Williams, Douglas Hansell",15,"{'US': 14, 'GB': 1}",treatment,male,"{'M': 13, 'F': 1}"
Andre L. Holder,Senior,Analysis of Discrepancies Between Pulse Oximetry and Arterial Oxygen Saturation Measurements by Race and Ethnicity and Association With Organ Dysfunction and Mortality,2021,210,18,"An-Kwok Ian Wong, Marie‐Laure Charpignon, Han Kim, Christopher S. Josef, Anne de Hond, Jhalique Jane R. Fojas, Azade Tabaie, Xiaoli Liu, Eduardo Mireles‐Cabodevila, Leandro Carvalho, Rishikesan Kamaleswaran, R. W. M. A. Madushani, Lasith Adhikari, Ewout W. Steyerberg, Timothy G. Buchman, Mary E. Lough, Leo Anthony Celi",17,"{'US': 14, 'NL': 2, 'CN': 2}",treatment,male,"{'M': 6, 'F': 2}"
Andre L. Holder,Senior,Early sepsis detection in critical care patients using multiscale blood pressure and heart rate dynamics,2017,146,7,"Supreeth P. Shashikumar, Matthew D. Stanley, Ismail Sadiq, Qiao Li, Gari D. Clifford, Shamim Nemati",6,{'US': 7},treatment,male,"{'M': 4, 'F': 0}"
Andre L. Holder,Senior,Predicting Progression to Septic Shock in the Emergency Department Using an Externally Generalizable Machine-Learning Algorithm,2021,79,6,"Gabriel Wardi, Morgan Carlile, Supreeth P. Shashikumar, Stephen R. Hayden, Shamim Nemati",5,{'US': 6},treatment,male,"{'M': 4, 'F': 0}"
Andre L. Holder,Senior,eARDS: A multi-center validation of an interpretable machine learning algorithm of early onset Acute Respiratory Distress Syndrome (ARDS) among critically ill adults with COVID-19,2021,43,16,"Lakshya Singhal, Yash Garg, Philip Yang, Azade Tabaie, An-Kwok Ian Wong, Akram Mohammed, Lokesh Chinthala, Dipen Kadaria, Amik Sodhi, Annette Esper, James M. Blum, Robert L. Davis, Gari D. Clifford, Greg S. Martin, Rishikesan Kamaleswaran",15,{'US': 16},treatment,male,"{'M': 6, 'F': 1}"
Andre L. Holder,Senior,Leveraging clinical data across healthcare institutions for continual learning of predictive risk models,2022,31,4,"Fatemeh Amrollahi, Supreeth P. Shashikumar, Shamim Nemati",3,{'US': 4},treatment,male,"{'M': 1, 'F': 1}"
Andre L. Holder,Senior,A Locally Optimized Data-Driven Tool to Predict Sepsis-Associated Vasopressor Use in the ICU,2021,23,5,"Supreeth P. Shashikumar, Gabriel Wardi, Timothy G. Buchman, Shamim Nemati",4,{'US': 5},treatment,male,"{'M': 3, 'F': 0}"
Andre L. Holder,Senior,Coronavirus Disease 2019 Temperature Trajectories Correlate With Hyperinflammatory and Hypercoagulable Subphenotypes,2022,15,10,"Sivasubramanium V. Bhavani, Philip A. Verhoef, Cheryl L. Maier, Chad Robichaux, William F. Parker, Rishikesan Kamaleswaran, May D. Wang, Matthew M. Churpek, Craig M. Coopersmith",9,{'US': 10},treatment,male,"{'M': 5, 'F': 2}"
Andre L. Holder,Senior,Machine Learning Methods to Predict Acute Respiratory Failure and Acute Respiratory Distress Syndrome,2020,21,5,"An-Kwok Ian Wong, Patricia Cheung, Rishikesan Kamaleswaran, Greg S. Martin",4,{'US': 5},treatment,male,"{'M': 1, 'F': 1}"
Andre L. Holder,Senior,The Big Consequences of Small Discrepancies: Why Racial Differences in Pulse Oximetry Errors Matter*,2022,12,2,An-Kwok Ian Wong,1,{'US': 2},treatment,male,"{'M': 0, 'F': 0}"
Andre L. Holder,Senior,Serial Daily Organ Failure Assessment Beyond ICU Day 5 Does Not Independently Add Precision to ICU Risk-of-Death Prediction,2017,16,9,"Elizabeth Overton, Peter F. Lyu, Jordan A. Kempker, Shamim Nemati, Fereshteh Razmi, Greg S. Martin, Timothy G. Buchman, David J. Murphy",8,{'US': 9},treatment,male,"{'M': 6, 'F': 2}"
Andre L. Holder,Senior,Overt and Occult Hypoxemia in Patients Hospitalized With COVID-19,2023,6,15,"Shrirang M. Gadrey, Piyus Mohanty, Sean P. Haughey, Beck A. Jacobsen, Kira J. Dubester, K. Webb, Rebecca Kowalski, Jessica J. Dreicer, Robert T. Andris, Matthew Clark, Christopher C. Moore, Rishi Kamaleswaran, Sarah J. Ratcliffe, J. Randall Moorman",14,{'US': 15},treatment,male,"{'M': 4, 'F': 4}"
Andre L. Holder,Senior,A FHIR-Enabled Streaming Sepsis Prediction System for ICUs,2018,12,7,"Joel Henry, Dennis J. Lynch, Jeff Mals, Supreeth P. Shashikumar, Ashish Sharma, Shamim Nemati",6,{'US': 7},treatment,male,"{'M': 5, 'F': 0}"
Andre L. Holder,Senior,A MACHINE LEARNING MODEL DERIVED FROM ANALYSIS OF TIME-COURSE GENE-EXPRESSION DATASETS REVEALS TEMPORALLY STABLE GENE MARKERS PREDICTIVE OF SEPSIS MORTALITY,2023,5,4,"Min Huang, Mihir R. Atreya, Rishikesan Kamaleswaran",3,{'US': 4},treatment,male,"{'M': 0, 'F': 0}"
Andre L. Holder,Senior,Prediction of Acute Respiratory Failure Requiring Advanced Respiratory Support in Advance of Interventions and Treatment: A Multivariable Prediction Model From Electronic Medical Record Data,2021,10,12,"An-Kwok Ian Wong, Rishikesan Kamaleswaran, Azade Tabaie, Matthew A. Reyna, Christopher S. Josef, Chad Robichaux, Anne de Hond, Ewout W. Steyerberg, Shamim Nemati, Timothy G. Buchman, James M. Blum",11,"{'US': 10, 'NL': 2}",treatment,male,"{'M': 7, 'F': 1}"
Andre L. Holder,Senior,Increasing Cardiovascular Data Sampling Frequency and Referencing It to Baseline Improve Hemorrhage Detection,2019,8,6,"Anthony Wertz, Mathieu Guillame-Bert, Gilles Clermont, Artur Dubrawski, Michael R. Pinsky",5,{'US': 6},treatment,male,"{'M': 5, 'F': 0}"
Andre L. Holder,Senior,Serial Measurements of Protein Biomarkers in Sepsis-Induced Acute Respiratory Distress Syndrome,2022,5,6,"Philip Yang, Elizabeth Iffrig, Frank L. Harris, Greg S. Martin, Annette Esper",5,{'US': 6},treatment,male,"{'M': 3, 'F': 2}"
Andre L. Holder,Senior,Major publications in the critical care pharmacotherapy literature: 2019,2020,6,16,"Melanie Smith, Alyson Basting, Patrick Costello, Ashley DePriest, Evert A. Eriksson, Heather L. Evans, K Hertel, Alyssa N. Kester, Kinsey Kowalski, Carolyn M. Bell, Barbara McLean, Michael Reichert, Melissa Santibañez, Patrick M. Wieruszewski, Andrea Sikora",15,{'US': 15},treatment,male,"{'M': 4, 'F': 10}"
Andre L. Holder,Senior,Predicting progression to septic shock in the emergency department using an externally generalizable machine learning algorithm,2020,4,6,"Gabriel Wardi, Morgan Carlile, Supreeth P. Shashikumar, Stephen R. Hayden, Shamim Nemati",5,{'US': 6},treatment,male,"{'M': 4, 'F': 0}"
Andre L. Holder,Senior,Doubly-Robust Estimation of Effect of Imaging Resource Utilization on Discharge Decisions in Emergency Departments,2018,3,4,"Azade Tabaie, Falgun H. Chokshi, Shamim Nemati",3,{'US': 4},treatment,male,"{'M': 1, 'F': 0}"
Andre L. Holder,Senior,301 Use of Transfer Learning to Improve External Validity of a Machine-Learning Algorithm to Predict Septic Shock in the Emergency Department,2020,2,7,"Gabriel Wardi, Supreeth P. Shashikumar, Morgan Carlile, M. Krak, Susan Hayden, Shamim Nemati",6,{},treatment,male,"{'M': 3, 'F': 1}"
Andre L. Holder,Senior,Facilitating the Next Paradigm Shift in Critical Care Through Artificial Intelligence,2023,1,2,Rishikesan Kamaleswaran,1,{'US': 2},treatment,male,"{'M': 0, 'F': 0}"
Andre L. Holder,Senior,Metabolomics-Based Differentiation Between Severe Sepsis and Septic Shock,2020,1,4,"Karan Uppal, Dean P. Jones, Annette Esper",3,{'US': 4},treatment,male,"{'M': 1, 'F': 2}"
Andre L. Holder,Senior,Overt and occult hypoxemia in patients hospitalized with novel coronavirus disease 2019,2022,1,15,"Shrirang M. Gadrey, Piyus Mohanty, Sean P. Haughey, Beck A. Jacobsen, Kira J. Dubester, K. Webb, Rebecca Kowalski, Jessica J. Dreicer, Robert T. Andris, Matthew Clark, Christopher C. Moore, Rishi Kamaleswaran, Sarah J. Ratcliffe, J. Randall Moorman",14,{'US': 15},treatment,male,"{'M': 4, 'F': 4}"
Andre L. Holder,Senior,Randomized Clinical Trials or Convenient Controls: TREWS or FALSE?,2022,1,5,"Shamim Nemati, Supreeth P. Shashikumar, Gabriel Wardi, Robert L. Owens",4,{'US': 5},treatment,male,"{'M': 3, 'F': 0}"
Andre L. Holder,Senior,Measuring Fellows' Willingness to Challenge Authority Using an Objective Structured Clinical Examination,2017,0,6,"David A. Schulman, Kim Fugate, Marjorie Timmer, Melanie Wright, Annette Esper",5,{'US': 6},treatment,male,"{'M': 1, 'F': 4}"
Andre L. Holder,Senior,Heart Rate Variability (HRV) Based Interpretable Machine Learning Algorithm for Prediction of All-cause Acute Respiratory Failure (ARF) Among ICU Patients,2023,0,11,"Preethi Krishnan, Cullen S. Marshall, S. Narendrula, Joao Gabriel De Souza Vale, J. Song, Pinfen Yang, J. Wang, Sivasubramanium V. Bhavani, A.M. Esper, Rishi Kamaleswaran",10,{'US': 11},treatment,male,"{'M': 1, 'F': 0}"
Andre L. Holder,Senior,Clinical Context From the Medical Record Improves Artificial Intelligence Models for Sepsis Prediction,2023,0,2,Timothy G. Buchman,1,{'US': 2},treatment,male,"{'M': 1, 'F': 0}"
Andre L. Holder,Senior,A Comparison Between Sensitivity Analysis of Oxygenation Severity and Acute Respiratory Distress Syndrome (ARDS) of a Machine Learning Algorithm to Predict Hypoxic Respiratory Failure by Utilizing Features Derived From Electrocardiogram (ECG) and Routine Clinical Data,2023,0,12,"Curtis Marshall, Saideep Narendrula, J. Wang, Joao Gabriel De Souza Vale, Hayoung Jeong, P. Krishnan, Philip Yang, N. Austin, J.S. McLean, A.M. Esper, Rishi Kamaleswaran",11,{'US': 12},treatment,male,"{'M': 2, 'F': 0}"
Andre L. Holder,Senior,Mixed-Integer Projections for Automated Data Correction of EMRs Improve Predictions of Sepsis among Hospitalized Patients,2023,0,6,"Mehak Arora, Hassan Mortagy, Nathan Dwarshius, Ruta Gupta, Rishikesan Kamaleswaran",5,{},treatment,male,"{'M': 2, 'F': 1}"
Andre L. Holder,Senior,HIRA: Heart Rate Interval based Rapid Alert score to characterize autonomic dysfunction among patients with sepsis-related acute respiratory failure (ARF),2023,0,9,"Preethi Krishnan, Milad Ghiasi Rad, Palak Agarwal, Curtis Marshall, Philip Yang, Sivasubramanium V. Bhavani, Annette Esper, Rishikesan Kamaleswaran",8,{'US': 9},treatment,male,"{'M': 3, 'F': 1}"
Andre L. Holder,Senior,Claudin-2 limits pancreatitis development through regulating tight junction-controlled pancreatic ductal transport,2023,0,20,"Sneha Kesaraju, Yueying Li, Junjie Xing, Melissa Tracy, Kristin Wannemo, Piao Zhao, M Khan, Joseph Kainov, Nasir Rana, Mohammed Sidahmed, Sanjiv Hyoju, Lexi Smith, J. Matthews, Savaş Tay, Fatemeh Khalili‐Araghi, Maunak V. Rana, Scott A. Oakes, Le Shen, Christopher R. Weber",19,{'US': 16},treatment,male,"{'M': 7, 'F': 6}"
Andre L. Holder,Senior,Data Science in Critical Care,2023,0,2,Rishikesan Kamaleswaran,1,{},treatment,male,"{'M': 0, 'F': 0}"
Andre L. Holder,Senior,Detecting algorithmic bias in medical AI-models,2023,0,4,"Jeffrey C. Smith, Rishikesan Kamaleswaran, Yao Xie",3,{},treatment,male,"{'M': 1, 'F': 0}"
Andre L. Holder,Senior,A Delphi Process to Identify Relevant Outcomes That May Be Associated With a Predictive Analytic Tool to Detect Hemodynamic Deterioration in the Intensive Care Unit,2023,0,8,"Ashish K. Khanna, Michael J. Scott, Sarah Collins Rossetti, Joseph Rinehart, Dustin D Linn, Jochen Weichert, R. Philip Dellinger",7,{'US': 8},treatment,male,"{'M': 5, 'F': 1}"
Andre L. Holder,Senior,1631,2018,0,17,"Ivor S. Douglas, Philip Alapat, Keith Corl, Matthew C. Exline, Lui G. Forni, David Kaufman, Akram Khan, Mitchell M. Levy, Greg S. Martin, Jennifer Sahatjian, Wesley H. Self, Eric J. Seeley, Jeremy A. Weingarten, Mark S. Williams, Christopher Winterbottom, Douglas Hansell",16,"{'US': 15, 'GB': 1}",treatment,male,"{'M': 14, 'F': 1}"
Andre L. Holder,Senior,Decreased Change in Stroke Volume in Patients with Sepsis and Septic Shock,2019,0,17,"Ivor S. Douglas, Philip Alapat, Keith Corl, Matthew C. Exline, Lui G. Forni, David A. Kaufman, Abigail Khan, Mitchell M. Levy, Greg S. Martin, Jennifer Sahatjian, Wesley H. Self, Eric J. Seeley, Jeremy A. Weingarten, Mark S. Williams, Christopher Winterbottom, Douglas Hansell",16,{'US': 13},treatment,male,"{'M': 13, 'F': 2}"
Andre L. Holder,Senior,Physiology of Fluid Responsiveness in Sepsis,2019,0,17,"Ivor S. Douglas, Philip Alapat, Keith Corl, Matthew C. Exline, L. Forni, David A. Kaufman, Akram Khan, Mitchell M. Levy, Greg S. Martin, Jennifer Sahatjian, Wesley H. Self, Eric J. Seeley, Jeremy A. Weingarten, Mark S. Williams, Christopher Winterbottom, Douglas Hansell",16,"{'US': 13, 'GB': 1}",treatment,male,"{'M': 14, 'F': 1}"
Andre L. Holder,Senior,1420: FLUID RESPONSIVENESS AND DIURETIC USE IN PATIENTS WITH SEPTIC SHOCK,2019,0,16,"Ivor S. Douglas, Philip Alapat, Keith Corl, Matthew C. Exline, Lui G. Forni, David A. Kaufman, Akram Khan, Mitchell M. Levy, Greg S. Martin, Jennifer Sahatjian, Eric J. Seeley, Wesley H. Self, Jeremy A. Weingarten, Mark D. Williams, Douglas Hansell",15,"{'US': 14, 'GB': 1}",treatment,male,"{'M': 13, 'F': 1}"
Andre L. Holder,Senior,The Independent Association of Mechanical Ventilation with Septic Shock Severity,2020,0,4,"Amina Merchant, Annette Esper, Greg S. Martin",3,{'US': 4},treatment,male,"{'M': 1, 'F': 2}"
Andre L. Holder,Senior,Assessment of EMR Data Availability Within the First 12 Hours of Admission for Prediction by Machine Learning Methods,2020,0,8,"An-Kwok Ian Wong, Azade Tabaie, Matthew A. Reyna, Shamim Nemati, Christopher S. Josef, Chad Robichaux, James M. Blum",7,{'US': 8},treatment,male,"{'M': 5, 'F': 0}"
Andre L. Holder,Senior,Preload Functional Status and Cardiac Output in Sepsis,2020,0,17,"Ivor S. Douglas, Philip Alapat, Keith Corl, Matthew C. Exline, L. Forni, David A. Kaufman, Akram Khan, Mitchell M. Levy, Greg S. Martin, Jennifer Sahatjian, Wesley H. Self, Eric J. Seeley, Jeremy A. Weingarten, Mark S. Williams, Christopher Winterbottom, Douglas Hansell",16,"{'US': 13, 'GB': 1}",treatment,male,"{'M': 14, 'F': 1}"
Andre L. Holder,Senior,Classification of Subsequent Acute Respiratory Failure (ARF) Requiring Prolonged Mechanical Ventilation by Basic Machine Learning Algorithms,2020,0,9,"An-Kwok Ian Wong, Azade Tabaie, Matthew A. Reyna, Christopher S. Josef, Chad Robichaux, Shamim Nemati, Timothy G. Buchman, James M. Blum",8,{'US': 7},treatment,male,"{'M': 6, 'F': 0}"
Andre L. Holder,Senior,PREDICTION OF ACUTE RESPIRATORY FAILURE REQUIRING MECHANICAL VENTILATION,2020,0,8,"An-Kwok Ian Wong, Azade Tabaie, Matthew A. Reyna, Christopher S. Josef, Chad Robichaux, Shamim Nemati, James M. Blum",7,{},treatment,male,"{'M': 5, 'F': 0}"
Andre L. Holder,Senior,1239: Dynamic Assessments of Fluid Responsiveness Reduce Excess Fluid Administration,2020,0,16,"Ivor S. Douglas, Philip Alapat, Keith Corl, Matthew C. Exline, Lui G. Forni, David A. Kaufman, Akram Khan, Mitchell M. Levy, Greg S. Martin, Jennifer Sahatjian, Eric J. Seeley, Wesley H. Self, Jeremy A. Weingarten, Mark D. Williams, Douglas Hansell",15,"{'US': 14, 'GB': 1}",treatment,male,"{'M': 13, 'F': 1}"
Andre L. Holder,Senior,Relationship of Dynamic Point-of-Care Assessment to Fluid Administration and Outcomes in Septic Shock,2022,0,9,"T.-H. Chen, Tao Wang, Zhi Zheng, R. Zhang, N. Austin, S. Ray Smith, Andrea Sikora, J.-T. Chen",8,{'US': 9},treatment,male,"{'M': 0, 'F': 1}"
Andre L. Holder,Senior,Initiation of Interventions for Cardiovascular and Respiratory Failure with Community-Acquired vs. Hospital-Acquired Sepsis,2022,0,5,"Shimaa Mohamed Kamal, Annette Esper, Greg S. Martin, T.-H. Chen",4,{'US': 5},treatment,male,"{'M': 1, 'F': 1}"
Andre L. Holder,Senior,Domain Adaptation for Robust Predictive Modeling Across Racial Groups,2021,0,5,"S. Shashikumar, Christopher S. Josef, Atul Malhotra, Shahrooz Nemati",4,{'US': 5},treatment,male,"{'M': 2, 'F': 0}"
Andre L. Holder,Senior,Body Temperature Trajectory Associated with Venous Thromboembolism in COVID-19 Patients,2021,0,7,"Sivasubramanium V. Bhavani, Rishikesan Kamaleswaran, Philip A. Verhoef, Matthew M. Churpek, Maobang Wang, Craig M. Coopersmith",6,{'US': 7},treatment,male,"{'M': 3, 'F': 0}"
Andre L. Holder,Senior,HOSPITAL FLUID CULTURE IMPACTS OUTCOME IN SEVERE SEPSIS AND SEPTIC SHOCK PATIENTS,2021,0,10,"Aftab Alam, Keith Corl, Ivor S. Douglas, Heath Latham, Greg S. Martin, Jennifer Sahatjian, Steven Q. Simpson, Walter T. Linde‐Zwirble, Douglas Hansell",9,{},treatment,male,"{'M': 8, 'F': 1}"
Andre L. Holder,Senior,Autonomic dysfunction characterized by Heart Rate Variability among patients with Sepsis-related Acute Respiratory Failure,2021,0,7,"Preethi Krishnan, Curtis Marshall, Philip Yang, Sivasubramanium V. Bhavani, Annette Esper, Rishikesan Kamaleswaran",6,{'US': 7},treatment,male,"{'M': 2, 'F': 1}"
Andre L. Holder,Senior,1381: CHARACTERIZING FLUID AND VASOPRESSOR USE IN REDUCED EJECTION FRACTION: REANALYSIS OF VOLUME-CHASERS,2021,0,4,"Aaron Chase, Susan Smith, Andrea Sikora",3,{'US': 4},treatment,male,"{'M': 1, 'F': 2}"
Andre L. Holder,Senior,Table of Contents,2021,0,28,"Emanuele Pivetta, Alberto Goffi, Maria Tizzani, Stefania Locatelli, Giulio Porrino, Isabel Losano, Dario Leone, G. Calzolari, Matteo Vesan, Fabio Steri, Arianna Ardito, Marialessia Capuano, Maria Gelardi, Giulia Silvestri, S. Dutto, Maria Avolio, Rossana Cavallo, Alessia Bartalucci, Cristina Paglieri, Fulvio Morello, Lorenzo Richiardi, Enrico Lupia, Gabriel Wardi, Morgan Carlile, Supreeth P. Shashikumar, Stephen R. Hayden, Shamim Nemati",27,{},treatment,male,"{'M': 13, 'F': 10}"
